"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1232","Submit with no test steps shows error","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","971","Back arrow returns to test case list","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","7320","Create test case with optional description","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","1804","Forgot Password link redirects correctly","ui-firefox","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","338","Create test case with valid data","api","2026-06-09","passed","2026-06-09","Test Case API","api/test-cases.spec.ts","",""
"","1316","Fields have correct placeholders","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Usability","ui/test-case/usability.spec.ts","",""
"","2106","Create test case with optional description","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","2890","Mark test case as Automated","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","2115","Remember me persists session","ui-webkit","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","2605","Admin link navigates to admin login","ui-firefox","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1644","Invalid email format shows error","ui-firefox","2026-06-09","passed","2026-06-09","Login - Validation","ui/login/validation.spec.ts","",""
"","35","Create test case without Test Steps returns error","api","2026-06-09","passed","2026-06-09","Test Case API","api/test-cases.spec.ts","",""
"","526","Login with valid credentials returns success","api","2026-06-09","passed","2026-06-09","Login API","api/login.spec.ts","",""
"","1389","Submit with empty Expected Result shows error","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","2183","Empty fields do not trigger backend call","ui-firefox","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","2641","Login succeeds with valid credentials","ui-firefox","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1334","Login fails with invalid credentials","ui-webkit","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1401","Remember me toggle is visible and interactive","ui-webkit","2026-06-09","passed","2026-06-09","Login - Usability","ui/login/usability.spec.ts","",""
"","788","Login link stays on login page","ui-chromium","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1269","Invalid email format shows error","ui-webkit","2026-06-09","passed","2026-06-09","Login - Validation","ui/login/validation.spec.ts","",""
"","1071","Submit with empty Title shows error","ui-chromium","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","7498","Back arrow returns to test case list","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
"","1513","Submit with no test steps shows error","ui-firefox","2026-06-09","passed","2026-06-09","Test Case - Validation","ui/test-case/validation.spec.ts","",""
"","1481","Remember me persists session","ui-chromium","2026-06-09","passed","2026-06-09","Login - Functional","ui/login/functional.spec.ts","",""
"","1087","Labels and placeholders are correct","ui-webkit","2026-06-09","passed","2026-06-09","Login - Usability","ui/login/usability.spec.ts","",""
"","1918","Create test case with required fields","ui-webkit","2026-06-09","passed","2026-06-09","Test Case - Functional","ui/test-case/functional.spec.ts","",""
